codice_contabilita|partita_iva|commodity|fornitore|anno_comp|mese_comp|data_emissione|data_scadenza|flg_presenza_scadenza|provenienza|volume|importo
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|10|2022-02-22 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|116284.064|9342.8701672131
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|01|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-663.604|-41.091647628687
413752|01932800228|EE|SET Distribuzione S.p.A.|2022|01|2022-02-20 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1084116.33|42593.349999999
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|11|2022-02-05 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|176827.305|6399.9373977815
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2019|07|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-477.365|-36.881468046097
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|06|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|373.269|34.417679809759
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|01|2022-02-16 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|3405.498|183.48321789414
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|10|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-1003.532|13.705358200617
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|02|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-757.578|114.26371489302
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|12|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-1460.629|33.474102623088
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|11|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-541.838|37.580090196703
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|05|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-457.442|-24.346828677147
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2019|04|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-428.769|-33.0037470726
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2019|10|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-505.441|-37.531002887585
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-06 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|21277.87|912.03410804034
383398|03178060236|EE|MEGARETI S.p.A.|2022|01|2022-02-10 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|1944645|64972.479999999
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|11|2022-02-02 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|122005.271|5173.6393757141
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|06|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-14289.108|-759.18073275932
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|08|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|418554|34706.489619531
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|01|2022-02-06 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-831.1|-943.86911111111
143863|05816611007|EE|ARETI S.p.A.|2021|10|2022-02-14 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|22271.56|1823.37
143863|05816611007|EE|ARETI S.p.A.|2021|09|2022-02-14 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|20923.97|2739.59
143863|05816611007|EE|ARETI S.p.A.|2021|11|2022-02-14 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|30533.95|2030.47
143863|05816611007|EE|ARETI S.p.A.|2021|12|2022-02-23 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|143.75|-256.2
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|09|2022-02-14 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|17195|1421.58
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|27701.081|1144.1245383912
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-25 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|46713.233|2393.8971254084
143863|05816611007|EE|ARETI S.p.A.|2021|06|2022-02-25 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|4575.1|294.45
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|11|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-65749.697|-92.398657892897
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|03|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|116710.463|22870.104474521
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|05|2022-02-16 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|4074.584|232.65128807519
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|01|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-4176.323|-94.732448438291
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|09|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-840|64.112244897959
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2019|08|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-466.16|-35.003516238869
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|33075.785|2763.2459650616
143863|05816611007|EE|ARETI S.p.A.|2021|11|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|9424.92|630.57
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|04|2022-02-04 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-1518.966|-35.706791205909
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|10|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-16500.083|-111.97730716866
148987|12883450152|EE|UNARETI S.p.A.|2021|11|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|7586.21|378.33848828324
143863|05816611007|EE|ARETI S.p.A.|2021|03|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-433.62|45.75
143863|05816611007|EE|ARETI S.p.A.|2021|05|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-2530.96|-73.28
143863|05816611007|EE|ARETI S.p.A.|2020|11|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-3577.88|-144.91
143863|05816611007|EE|ARETI S.p.A.|2021|04|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-1320.36|-37.6
122133|00930530324|EE|ACEGASAPSAMGA S.p.A.|2017|11|2022-02-24 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|0|53.794725588026
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|04|2022-02-05 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|4860.836|287.82212454212
122133|00930530324|EE|ACEGASAPSAMGA S.p.A.|2017|12|2022-02-24 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|55|255.9246044191
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2012|10|2022-02-05 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|3980|343.41
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|09|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|727|62.28
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|10|2022-02-06 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|30859.555|1276.154240513
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|04|2022-02-22 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|307.217|75.147290448913
148987|12883450152|EE|UNARETI S.p.A.|2021|12|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|29646.3|1636.3899026762
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|11|2022-02-07 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|2844.024|117.71561516761
143863|05816611007|EE|ARETI S.p.A.|2020|12|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-3660.38|-149.49
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|10|2022-02-24 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|61583.075|2991.6921270227
143863|05816611007|EE|ARETI S.p.A.|2021|01|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-3615.75|-150.75
143863|05816611007|EE|ARETI S.p.A.|2021|02|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-1772.56|-31.29
143863|05816611007|EE|ARETI S.p.A.|2021|08|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1769.94|92.42
143863|05816611007|EE|ARETI S.p.A.|2021|10|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|3853.75|123.97
143863|05816611007|EE|ARETI S.p.A.|2021|05|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|952.26|62.14
143863|05816611007|EE|ARETI S.p.A.|2021|09|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1544.34|84.92
143863|05816611007|EE|ARETI S.p.A.|2021|11|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|5142.22|176.96
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-01 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|23178.61|1031.207160559
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|05|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|27847.491|14335.728800414
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2011|12|2022-02-04 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-3462|-220.79
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2018|12|2022-02-17 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|234.848|19.675
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2019|02|2022-02-17 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|-365.067|-28.835333333333
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|04|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|28494.894|13605.707007808
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|02|2022-02-06 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-21305.8|-8305.0117777778
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|11|2022-02-06 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|9724.578|456.34165144666
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|01|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|30108.241|1944.7300033468
449013|01791490343|EE|IRETI S.p.A.|2021|11|2022-02-21 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|124437|7687.43
449013|01791490343|EE|IRETI S.p.A.|2021|12|2022-02-21 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|381653|21521.75
449013|01791490343|EE|IRETI S.p.A.|2021|10|2022-02-21 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|6469|193.39
455488|02689370217|EE|EDYNA S.r.l.|2022|01|2022-02-21 00:00:00|2022-03-26 00:00:00|PRESENTE|AcuPhi|360485|14846.83
529156|01017590140|EE|RETI VALTELLINA VALCHIAVENNA S.r.l.|2022|01|2022-02-10 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|99952|4293.46
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2012|10|2022-02-04 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-3980|-343.41
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|10|2022-02-14 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|29614.782|1261.9241832404
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|09|2022-02-17 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|2057|9825.316811106
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|10|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|14154.434|676.75299100837
148987|12883450152|EE|UNARETI S.p.A.|2022|01|2022-02-15 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|7170885.1|329973.29999998
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|04|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|11084.024|962.75356185185
449013|01791490343|EE|IRETI S.p.A.|2021|09|2022-02-10 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|88914|4015.2
449013|01791490343|EE|IRETI S.p.A.|2021|10|2022-02-10 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|65717|2794.3
449013|01791490343|EE|IRETI S.p.A.|2021|09|2022-02-25 00:00:00|2022-03-31 00:00:00|PRESENTE|AcuPhi|-135268.09|-13754.034269841
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|10|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1841.038|73.570645466042
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|11|2022-02-24 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|75265.763|3499.2382213931
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|08|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1402|102.54
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|11|2022-02-23 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|4147.032|146.13672922456
122133|00930530324|EE|ACEGASAPSAMGA S.p.A.|2022|01|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|258356.48|4712.47
157048|00035870070|EE|Società Cooperativa Elettrica Gignod (C.E.G.)|2022|01|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|0|0.0048275862068966
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|11|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|28276.545|1775.0847050013
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-24 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|86953.163|3802.0796515842
449013|01791490343|EE|IRETI S.p.A.|2021|12|2022-02-10 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|4696|250.86
157048|00035870070|EE|Società Cooperativa Elettrica Gignod (C.E.G.)|2022|02|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|32274|1139.8351724138
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|06|2022-02-16 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|4396.818|242.25577838905
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-14 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|81006.238|3634.2535010315
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|10|2022-02-05 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|8938.569|228.75644407497
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|08|2022-02-25 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-103865|-537.92
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|11|2022-02-14 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|40899.985|1863.0623157281
