Codice RUN;Data Calcolo;Data Consolidamento;Data Emissione;Ordine Tipo Emissione;Codice Famiglia Emissione;Max numero conti cliente;Tipo catena;Conti cliente completi;Ordine criteri;Codice CD 1;Valore CD 1;Tipo associazione CD 1;Codice CD 2;Valore CD 2;Tipo associazione CD 2;Codice CD 3;Valore CD 3;Tipo associazione CD 3;Codice CD 4;Valore CD 4;Tipo associazione CD 4;Codice CD 5;Valore CD 5;Tipo associazione CD 5;Codice CD 6;Valore CD 6;Tipo associazione CD 6;Codice CD 7;Valore CD 7;Tipo associazione CD 7;Codice CD 8;Valore CD 8;Tipo associazione CD 8;Codice CD 9;Valore CD 9;Tipo associazione CD 9;Codice CD 10;Valore CD 10;Tipo associazione CD 10;FLG_BL_COM
2022_RUN_0071;04/10/2022;10/10/2022;11/10/2022;1;P;400000;D;S;1;LETTURA;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0072;11/10/2022;11/10/2022;12/10/2022;1;D;100000;S;N;1;DOMICILIATO;S;O;LETTURA;S;P;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0073;11/10/2022;11/10/2022;12/10/2022;2;GL;500000;S;N;1;DOMICILIATO;S;O;LETTURA;S;P;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0074;12/10/2022;12/10/2022;13/10/2022;1;P;135000;S;S;1;LETTURA;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0075;12/10/2022;12/10/2022;13/10/2022;2;GR;430000;S;S;1;DOMICILIATO;S;O;LETTURA;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0076;13/10/2022;13/10/2022;14/10/2022;1;GR;170000;S;N;1;DOMICILIATO;S;O;LETTURA;S;P;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0077;10/10/2022;14/10/2022;15/10/2022;1;D;90000;D;S;1;LETTURA;S;O;DOMICILIATO;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0078;10/10/2022;14/10/2022;15/10/2022;2;GL;100000;D;S;1;LETTURA;S;O;DOMICILIATO;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0079;17/10/2022;17/10/2022;18/10/2022;1;GR;300000;S;S;1;LETTURA;S;O;CEDIBILE;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0080;18/10/2022;18/10/2022;19/10/2022;1;P;58000;S;N;1;LETTURA;S;P;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0081;18/10/2022;18/10/2022;19/10/2022;2;GL;3000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0082;18/10/2022;18/10/2022;19/10/2022;3;GR;6000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0083;18/10/2022;18/10/2022;19/10/2022;4;D;1000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0084;20/10/2022;20/10/2022;21/10/2022;1;D;50000;S;S;1;LETTURA;S;O;CEDIBILE;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0085;20/10/2022;20/10/2022;21/10/2022;2;GL;290000;S;S;1;LETTURA;S;O;CEDIBILE;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0086;24/10/2022;24/10/2022;25/10/2022;1;GL;130000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0087;24/10/2022;24/10/2022;25/10/2022;2;D;22000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0088;24/10/2022;24/10/2022;25/10/2022;3;GR;210000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0089;03/11/2022;09/11/2022;10/11/2022;1;P;500000;D;S;1;LETTURA;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0090;10/11/2022;10/11/2022;11/11/2022;1;P;500000;S;S;1;LETTURA;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0091;14/11/2022;14/11/2022;15/11/2022;1;GR;500000;S;S;1;CADENZA;MENSILE;O;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0092;14/11/2022;14/11/2022;15/11/2022;1;GR;500000;S;S;2;CADENZA;QUADRIMESTRALE;O;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0093;15/11/2022;15/11/2022;16/11/2022;1;GR;120000;S;S;1;LETTURA;S;O;CADENZA;QUADRIMESTRALE;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0094;15/11/2022;15/11/2022;16/11/2022;2;D;18000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0095;15/11/2022;15/11/2022;16/11/2022;3;GL;20000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0096;15/11/2022;15/11/2022;16/11/2022;4;P;5000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0097;12/11/2022;17/11/2022;18/11/2022;1;D;5000;D;S;1;CADENZA;QUADRIMESTRALE;O;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0098;12/11/2022;17/11/2022;18/11/2022;2;GL;440000;D;S;1;CADENZA;QUADRIMESTRALE;O;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0099;17/11/2022;17/11/2022;18/11/2022;3;GR;5000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0100;18/11/2022;18/11/2022;19/11/2022;1;P;105000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0101;16/11/2022;21/11/2022;22/11/2022;1;D;175000;D;S;1;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0102;16/11/2022;21/11/2022;22/11/2022;2;GL;235000;D;S;1;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0103;21/11/2022;24/11/2022;25/11/2022;1;GL;250000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
